yield (kg/acre),area (acre),wind speed,rainfall,Tempreature,profile soil moisture,rootzone soil wetness,no of open well,no of bore wells,canal length,no of ponds,Factamfos,Potash,Urea
71.48,792.03,1.303333333,0.88,10.01,0.66,0.666666667,1024,1800,28,190,47.5218,35.64135,39.6015
475.17,780.97,1.861666667,0.88,10.01,0.645,0.653333333,895,1997,80.2,160,46.8582,35.14365,39.0485
476.15,157.51,1.201666667,0,10.01,0.615,0.62,1803,2368,29.4,19,9.4506,7.08795,7.8755
217.53,469.72,1.303333333,0.88,10.01,0.66,0.666666667,398,894,54.3,125,28.1832,21.1374,23.486
586.22,1894.01,1.667142857,6.03,10.17,0.777142857,0.797142857,2520,125,61.4,122,113.6406,85.23045,94.7005
858.93,1408.48,1.381428571,6.78,10.17,0.788571429,0.812857143,1718,1247,14.6,98,84.5088,63.3816,70.424
737.53,1996.75,2.248571429,9.04,10.17,0.821428571,0.844285714,497,395,32.1,90,119.805,89.85375,99.8375
522.56,2529.77,1.667142857,6.03,10.17,0.777142857,0.797142857,1026,1804,28,190,151.7862,113.83965,126.4885
931.74,2012.55,2.248571429,9.04,10.17,0.821428571,0.844285714,898,1998,80.2,164,120.753,90.56475,100.6275
695.2,1168.48,1.381428571,6.78,10.17,0.788571429,0.812857143,1820,2392,29.4,19,70.1088,52.5816,58.424
842.46,2073.69,1.667142857,6.03,10.17,0.777142857,0.797142857,400,896,54.3,128,124.4214,93.31605,103.6845
1221.45,1701.55,1.298333333,3.52,8.6,0.76,0.775,2525,125,61.4,126,102.093,76.56975,85.0775
1413.71,1431.59,1.165,3.52,8.6,0.735,0.756666667,1722,1250,14.6,100,85.8954,64.42155,71.5795
1143.01,1774.08,1.803333333,3.52,8.6,0.748333333,0.765,503,398,32.1,93,106.4448,79.8336,88.704
1551.94,2337.64,1.298333333,3.52,8.6,0.76,0.775,1026,1805,28,190,140.2584,105.1938,116.882
1450.66,1986.71,1.803333333,3.52,8.6,0.748333333,0.765,900,1998,80.2,164,119.2026,89.40195,99.3355
1435.43,1437.52,1.165,3.52,8.6,0.735,0.756666667,1857,2416,29.4,20,86.2512,64.6884,71.876
1428.42,1877.24,1.298333333,3.52,8.6,0.76,0.775,406,901,54.3,130,112.6344,84.4758,93.862
1293.74,1620.52,1.665714286,6.78,9.95,0.807142857,0.832857143,2525,125,61.4,126,97.2312,72.9234,81.026
1287.76,1176.98,1.414285714,9.04,9.95,0.814285714,0.837142857,1722,1250,14.6,100,70.6188,52.9641,58.849
1227.9,1701.23,2.257142857,11.3,9.95,0.834285714,0.855714286,503,398,32.1,93,102.0738,76.55535,85.0615
1486.96,2390.27,1.665714286,6.78,9.95,0.807142857,0.832857143,1027,1806,28,191,143.4162,107.56215,119.5135
1568.38,2012.98,2.257142857,11.3,9.95,0.834285714,0.855714286,903,2004,80.2,170,120.7788,90.5841,100.649
1420.5,886.69,1.414285714,9.04,9.95,0.814285714,0.837142857,1884,2430,29.4,20,53.2014,39.90105,44.3345
1643.7,1646.16,1.665714286,6.78,9.95,0.807142857,0.832857143,406,901,54.3,130,98.7696,74.0772,82.308
2060,2127.51,1.151666667,2.64,8.42,0.753333333,0.77,2531,127,61.4,130,127.6506,95.73795,106.3755
1908.55,1656.22,1.063333333,2.64,8.42,0.706666667,0.723333333,1724,1254,14.6,105,99.3732,74.5299,82.811
1881.34,2266.22,1.615,3.52,8.42,0.723333333,0.738333333,503,398,32.1,98,135.9732,101.9799,113.311
2185.29,2848.24,1.151666667,2.64,8.42,0.753333333,0.77,1027,1806,28,191,170.8944,128.1708,142.412
2104.16,2315.55,1.615,3.52,8.42,0.723333333,0.738333333,903,2004,80.2,170,138.933,104.19975,115.7775
2110.59,1560.72,1.063333333,2.64,8.42,0.706666667,0.723333333,1891,2434,29.4,20,93.6432,70.2324,78.036
2069.46,2481.27,1.151666667,2.64,8.42,0.753333333,0.77,410,905,54.3,135,148.8762,111.65715,124.0635
1380.95,2270.49,1.702857143,6.78,10.09,0.76,0.778571429,2540,131,61.4,133,136.2294,102.17205,113.5245
1589.44,1753.59,1.43,7.53,10.09,0.775714286,0.791428571,1724,1254,14.6,105,105.2154,78.91155,87.6795
1393.65,2305.31,2.3,10.55,10.09,0.792857143,0.814285714,503,398,32.1,98,138.3186,103.73895,115.2655
1483.19,2965.62,1.702857143,6.78,10.09,0.76,0.778571429,1027,1808,28,191,177.9372,133.4529,148.281
1699.26,2513.68,2.3,10.55,10.09,0.792857143,0.814285714,906,2007,80.2,175,150.8208,113.1156,125.684
1369.75,1773.1,1.43,7.53,10.09,0.775714286,0.791428571,1891,2437,29.4,20,106.386,79.7895,88.655
1518.05,2554.97,1.702857143,6.78,10.09,0.76,0.778571429,415,910,54.3,140,153.2982,114.97365,127.7485
2034.85,2184.15,1.298333333,4.4,8.43,0.803333333,0.82,2548,135,61.4,138,131.049,98.28675,109.2075
2048.15,1817.05,1.196666667,4.4,8.43,0.776666667,0.796666667,1725,1256,14.6,108,109.023,81.76725,90.8525
1852.68,2341.16,1.82,5.27,8.43,0.786666667,0.805,503,398,32.1,98,140.4696,105.3522,117.058
2096.53,2987.95,1.298333333,4.4,8.43,0.803333333,0.82,1027,1809,28,191,179.277,134.45775,149.3975
2046.58,2513.4,1.82,5.27,8.43,0.786666667,0.805,906,2010,80.2,175,150.804,113.103,125.67
1919.87,1755.59,1.196666667,4.4,8.43,0.776666667,0.796666667,1898,2441,29.4,22,105.3354,79.00155,87.7795
1518.05,2554.97,1.298333333,4.4,8.43,0.803333333,0.82,419,914,54.3,145,153.2982,114.97365,127.7485
1454.03,2595.78,1.678571429,7.53,10.07,0.765714286,0.784285714,2553,136,61.4,141,155.7468,116.8101,129.789
1632.2,1763.55,1.387142857,8.29,10.07,0.78,0.802857143,1725,1256,14.6,108,105.813,79.35975,88.1775
1374.29,2394.46,2.251428571,9.79,10.07,0.804285714,0.827142857,510,398,32.1,100,143.6676,107.7507,119.723
1624.66,3170.75,1.678571429,7.53,10.07,0.765714286,0.784285714,1029,1814,28,191,190.245,142.68375,158.5375
1667.3,2569.04,2.251428571,9.79,10.07,0.804285714,0.827142857,906,2010,80.2,175,154.1424,115.6068,128.452
1353.66,1987.75,1.387142857,8.29,10.07,0.78,0.802857143,1901,2445,29.4,22,119.265,89.44875,99.3875
1549.46,2805.22,1.678571429,7.53,10.07,0.765714286,0.784285714,419,914,54.3,145,168.3132,126.2349,140.261
2126.26,2352.13,1.408333333,4.4,8.12,0.791666667,0.81,2563,140,61.4,150,141.1278,105.84585,117.6065
2158.48,1897.07,1.201666667,3.52,8.12,0.756666667,0.776666667,1727,1260,14.6,108,113.8242,85.36815,94.8535
1894.97,2407.89,1.841666667,4.39,8.12,0.761666667,0.78,515,400,32.1,105,144.4734,108.35505,120.3945
2095.92,3312.7,1.408333333,4.4,8.12,0.791666667,0.81,1029,1815,28,191,198.762,149.0715,165.635
2119.33,2581.68,1.841666667,4.39,8.12,0.761666667,0.78,910,2016,80.2,176,154.9008,116.1756,129.084
1913.53,1843.06,1.201666667,3.52,8.12,0.756666667,0.776666667,1908,2449,29.4,27,110.5836,82.9377,92.153
2112.64,2885.14,1.408333333,4.4,8.12,0.791666667,0.81,419,914,54.3,145,173.1084,129.8313,144.257
1549.78,2413.17,1.591428571,7.36,10.08,0.801428571,0.825714286,2570,141,61.4,155,144.7902,108.59265,120.6585
1588.42,1806.91,1.31,8.82,10.08,0.824285714,0.852857143,1730,1263,14.6,110,108.4146,81.31095,90.3455
1280.29,2450.34,2.13,10.55,10.08,0.854285714,0.878571429,517,400,32.1,105,147.0204,110.2653,122.517
1476.4,3337.37,1.591428571,7.36,10.08,0.801428571,0.825714286,1029,1817,28,191,200.2422,150.18165,166.8685
1343.14,2746.42,2.13,10.55,10.08,0.854285714,0.878571429,914,2020,80.2,180,164.7852,123.5889,137.321
1473.53,1766.97,1.31,8.82,10.08,0.824285714,0.852857143,1915,2453,29.4,32,106.0182,79.51365,88.3485
1599.3,2691.66,1.591428571,7.36,10.08,0.801428571,0.825714286,420,916,54.3,145,161.4996,121.1247,134.583
2236.6,2512.18,1.303333333,5.77,8.39,0.851666667,0.871666667,2578,145,61.4,160,150.7308,113.0481,125.609
2165.67,2002.51,1.156666667,5.95,8.39,0.823333333,0.845,1730,1263,14.6,110,120.1506,90.11295,100.1255
1978.97,2529.74,1.821666667,6.74,8.39,0.835,0.851666667,520,405,32.1,110,151.7844,113.8383,126.487
2109.13,3578.37,1.303333333,5.77,8.39,0.851666667,0.871666667,1029,1820,28,192,214.7022,161.02665,178.9185
2170.56,2699.85,1.821666667,6.74,8.39,0.835,0.851666667,914,2020,80.2,180,161.991,121.49325,134.9925
1914.38,1996,1.156666667,5.95,8.39,0.823333333,0.845,1920,2457,29.4,32,119.76,89.82,99.8
2110.61,3186.5,1.303333333,5.77,8.39,0.851666667,0.871666667,422,920,54.3,150,191.19,143.3925,159.325
1084.09,2493.9,1.525714286,7.75,9.9,0.825714286,0.844285714,2578,145,61.4,160,149.634,112.2255,124.695
1372.33,1866.52,1.295714286,8.97,9.9,0.822857143,0.851428571,1732,1263,14.6,111,111.9912,83.9934,93.326
1304.18,2333.17,2.058571429,10.34,9.9,0.855714286,0.881428571,520,405,32.1,110,139.9902,104.99265,116.6585
1128.5,3398.43,1.525714286,7.75,9.9,0.825714286,0.844285714,1031,1824,28,192,203.9058,152.92935,169.9215
1369.35,2621.32,2.058571429,10.34,9.9,0.855714286,0.881428571,916,2022,80.2,181,157.2792,117.9594,131.066
1161.88,1840.81,1.295714286,8.97,9.9,0.822857143,0.851428571,1927,2461,29.4,36,110.4486,82.83645,92.0405
1361.21,2570.91,1.525714286,7.75,9.9,0.825714286,0.844285714,425,926,54.3,152,154.2546,115.69095,128.5455
1774.01,2486.88,1.171666667,3.53,8.63,0.808333333,0.826666667,2588,148,61.4,161,149.2128,111.9096,124.344
2006.5,1861.03,1.06,3.4,8.63,0.758333333,0.78,1732,1264,14.6,111,111.6618,83.74635,93.0515
1854.78,2339.46,1.626666667,3.89,8.63,0.763333333,0.783333333,524,410,32.1,114,140.3676,105.2757,116.973
1958,3141.68,1.171666667,3.53,8.63,0.808333333,0.826666667,1031,1824,28,192,188.5008,141.3756,157.084
1883.95,2645.95,1.626666667,3.89,8.63,0.763333333,0.783333333,916,2022,80.2,181,158.757,119.06775,132.2975
1814.04,1808.75,1.06,3.4,8.63,0.758333333,0.78,1934,2477,29.4,36,108.525,81.39375,90.4375
2040.25,2611.22,1.171666667,3.53,8.63,0.808333333,0.826666667,425,926,54.3,152,156.6732,117.5049,130.561
